title,link,published,country,source,summary,Combined_Text,Language
"UK net migration in 2024 almost halves to 431,000, ONS estimates",https://www.bbc.com/news/articles/ckgx3ekkw1eo,"Thu, 22 May 2025 11:29:36 GMT",UK,BBC,The ONS says the yearly decline in net migration is the biggest numerical drop on record.,"UK net migration in 2024 almost halves to 431,000, ONS estimates The ONS says the yearly decline in net migration is the biggest numerical drop on record.",en
Violent criminals could be released early and chemical castration pilot expanded after review,https://www.bbc.com/news/articles/cql22xwg62vo,"Thu, 22 May 2025 07:28:51 GMT",UK,BBC,The landmark sentencing review calls for fewer custodial sentences and earlier prison releases.,Violent criminals could be released early and chemical castration pilot expanded after review The landmark sentencing review calls for fewer custodial sentences and earlier prison releases.,en
90 lorry loads of humanitarian aid now in Gaza after 3 day delay at crossing,https://www.bbc.com/news/articles/czdyv3jp5elo,"Thu, 22 May 2025 10:46:24 GMT",UK,BBC,"The aid, including flour and baby food, was picked up three days after Israel eased an 11-week-long blockade.","90 lorry loads of humanitarian aid now in Gaza after 3 day delay at crossing The aid, including flour and baby food, was picked up three days after Israel eased an 11-week-long blockade.",en
"Women with dense breasts should have extra NHS cancer scans, researchers say",https://www.bbc.com/news/articles/cn0gg7p015jo,"Wed, 21 May 2025 23:02:47 GMT",UK,BBC,Additional scans better tailored to spotting cancer in dense breasts could treble detection rates.,"Women with dense breasts should have extra NHS cancer scans, researchers say Additional scans better tailored to spotting cancer in dense breasts could treble detection rates.",en
Nike to raise prices as firms face tariffs uncertainty,https://www.bbc.com/news/articles/c3315er3gygo,"Thu, 22 May 2025 11:03:42 GMT",UK,BBC,"The US sportswear giant says its price increases are part of ""seasonal planning"".","Nike to raise prices as firms face tariffs uncertainty The US sportswear giant says its price increases are part of ""seasonal planning"".",en
What Trump's choreographed Oval Office attack on Ramaphosa tells us,https://www.bbc.com/news/articles/c753rlw4430o,"Thu, 22 May 2025 01:48:07 GMT",UK,BBC,The BBC's Gary O'Donoghue analyses how the South African president reacted in an extraordinary Oval Office meeting.,What Trump's choreographed Oval Office attack on Ramaphosa tells us The BBC's Gary O'Donoghue analyses how the South African president reacted in an extraordinary Oval Office meeting.,en
"Watch: Deep inside a Norwegian mountain, Nato allies train for Arctic war",https://www.bbc.com/news/videos/cy0jjxnd8weo,"Thu, 22 May 2025 05:10:24 GMT",UK,BBC,Europe editor Katya Adler gains access to a secret HQ and Norwegian warships leading military exercises.,"Watch: Deep inside a Norwegian mountain, Nato allies train for Arctic war Europe editor Katya Adler gains access to a secret HQ and Norwegian warships leading military exercises.",en
Tax rise warning after higher-than-expected government borrowing,https://www.bbc.com/news/articles/c3e55l8zx4go,"Thu, 22 May 2025 10:47:32 GMT",UK,BBC,"Borrowing - the difference between spending and tax income - was £20.2bn, up £1bn from April last year.","Tax rise warning after higher-than-expected government borrowing Borrowing - the difference between spending and tax income - was £20.2bn, up £1bn from April last year.",en
UK sea temperatures soar after exceptionally warm spring,https://www.bbc.com/news/articles/c7533y6l3k0o,"Thu, 22 May 2025 01:05:01 GMT",UK,BBC,Sea temperatures in some areas off the UK and Ireland are 4C above average.,UK sea temperatures soar after exceptionally warm spring Sea temperatures in some areas off the UK and Ireland are 4C above average.,en
What we know so far,https://www.bbc.com/news/articles/c8xgv4p114wo,"Thu, 22 May 2025 07:09:17 GMT",UK,BBC,"Police say the victims, a young couple, were shot by a man who shouted ""free, free Palestine"".","What we know so far Police say the victims, a young couple, were shot by a man who shouted ""free, free Palestine"".",en
Victims were young couple who were to marry,https://www.bbc.com/news/articles/ckgn6nd3wlvo,"Thu, 22 May 2025 11:21:18 GMT",UK,BBC,Yaron Lischinsky and Sarah Milgrim were shot dead outside a Jewish museum in the American capital.,Victims were young couple who were to marry Yaron Lischinsky and Sarah Milgrim were shot dead outside a Jewish museum in the American capital.,en
Watch: BBC at the scene of the shooting,https://www.bbc.com/news/videos/cx2ev75wyp8o,"Thu, 22 May 2025 08:08:36 GMT",UK,BBC,The BBC's North America correspondent Nomia Iqbal takes us through what we know about the shooting so far.,Watch: BBC at the scene of the shooting The BBC's North America correspondent Nomia Iqbal takes us through what we know about the shooting so far.,en
Gazans fear shutdown of water plants as Israel widens offensive,https://www.bbc.com/news/articles/ced227p84n4o,"Thu, 22 May 2025 04:31:31 GMT",UK,BBC,"Parents say children are having to drink unsafe and salty water, as fuel shortages threaten desalination and hygiene facilities.","Gazans fear shutdown of water plants as Israel widens offensive Parents say children are having to drink unsafe and salty water, as fuel shortages threaten desalination and hygiene facilities.",en
Numbers are down - but Starmer will still struggle to win on immigration,https://www.bbc.com/news/articles/cyvmmldmvq4o,"Thu, 22 May 2025 02:01:40 GMT",UK,BBC,"New figures show a fall in net migration. But still, Labour will struggle to soothe public concern, writes our senior correspondent Allan Little.","Numbers are down - but Starmer will still struggle to win on immigration New figures show a fall in net migration. But still, Labour will struggle to soothe public concern, writes our senior correspondent Allan Little.",en
The Victorian scam artist who duped an island,https://www.bbc.com/news/articles/cjdznl0pppvo,"Thu, 22 May 2025 05:29:35 GMT",UK,BBC,Peterhead-born Annie Gordon Baillie saw an opportunity to make a fortune from Skye's violent Crofters' War.,The Victorian scam artist who duped an island Peterhead-born Annie Gordon Baillie saw an opportunity to make a fortune from Skye's violent Crofters' War.,en
'I'm a winner' - inside Postecoglou's second season at Tottenham,https://www.bbc.com/sport/football/articles/c5yqqy55xjjo,"Thu, 22 May 2025 00:58:02 GMT",UK,BBC,BBC Sport's senior football correspondent Sami Mokbel takes you inside Tottenham's undulating road to glory.,'I'm a winner' - inside Postecoglou's second season at Tottenham BBC Sport's senior football correspondent Sami Mokbel takes you inside Tottenham's undulating road to glory.,en
'Wild camping on Dartmoor is not about large tents and fairy lights',https://www.bbc.com/news/articles/c23mmyd1kdpo,"Thu, 22 May 2025 05:08:29 GMT",UK,BBC,The message comes after the legal right to wild camp on Dartmoor was upheld by the Supreme Court.,'Wild camping on Dartmoor is not about large tents and fairy lights' The message comes after the legal right to wild camp on Dartmoor was upheld by the Supreme Court.,en
"How much money does the UK government borrow, and does it matter?",https://www.bbc.com/news/articles/c4g2rky498wo,"Thu, 22 May 2025 09:10:16 GMT",UK,BBC,The state borrows to fund day-to-day spending as well as long-term infrastructure projects.,"How much money does the UK government borrow, and does it matter? The state borrows to fund day-to-day spending as well as long-term infrastructure projects.",en
